"Name","Location","Function Signature","Function Size"
"FUN_0801f638","0801f638","undefined FUN_0801f638()","10"
"FUN_0801f644","0801f644","undefined FUN_0801f644()","32"
"FUN_0801f66c","0801f66c","undefined FUN_0801f66c()","42"
"FUN_0801f6a0","0801f6a0","undefined FUN_0801f6a0()","42"
"FUN_0801f718","0801f718","undefined FUN_0801f718()","36"
"FUN_0801f744","0801f744","undefined FUN_0801f744()","36"
"FUN_0801f770","0801f770","undefined FUN_0801f770()","14"
"FUN_0801f780","0801f780","undefined FUN_0801f780()","60"
"FUN_0801f7d0","0801f7d0","undefined FUN_0801f7d0()","186"
"FUN_0801f89c","0801f89c","undefined FUN_0801f89c()","30"
"FUN_0801f8c0","0801f8c0","undefined FUN_0801f8c0()","72"
"FUN_0801f914","0801f914","undefined FUN_0801f914()","24"
"FUN_0801f92c","0801f92c","undefined FUN_0801f92c()","76"
"FUN_0801f978","0801f978","undefined FUN_0801f978()","46"
"FUN_0801f9a8","0801f9a8","undefined FUN_0801f9a8()","46"
"FUN_0801f9e8","0801f9e8","undefined FUN_0801f9e8()","158"
"FUN_0801fab0","0801fab0","undefined FUN_0801fab0()","152"
"FUN_0801fb60","0801fb60","undefined FUN_0801fb60()","32"
"FUN_0801fb94","0801fb94","undefined FUN_0801fb94()","8"
"FUN_0801fba0","0801fba0","undefined FUN_0801fba0()","48"
"FUN_0801fbd8","0801fbd8","undefined FUN_0801fbd8()","28"
"FUN_0801fbfc","0801fbfc","undefined FUN_0801fbfc()","50"
"FUN_0801fc30","0801fc30","undefined FUN_0801fc30()","26"
"FUN_0801fc54","0801fc54","undefined FUN_0801fc54()","8"
"FUN_0801fc60","0801fc60","undefined FUN_0801fc60()","104"
"FUN_0801fcd8","0801fcd8","undefined FUN_0801fcd8()","54"
"FUN_0801fd18","0801fd18","undefined FUN_0801fd18()","120"
"FUN_0801fda0","0801fda0","undefined FUN_0801fda0()","280"
"FUN_0801fed8","0801fed8","undefined FUN_0801fed8()","70"
"FUN_0801ff30","0801ff30","undefined FUN_0801ff30()","106"
"FUN_0801ffa4","0801ffa4","undefined FUN_0801ffa4()","42"
"FUN_080200bc","080200bc","undefined FUN_080200bc()","22"
"FUN_080200d8","080200d8","undefined FUN_080200d8(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","26"
"FUN_08020134","08020134","undefined FUN_08020134()","10"
"FUN_08020144","08020144","undefined FUN_08020144()","16"
"FUN_08020160","08020160","undefined FUN_08020160()","40"
"FUN_08020198","08020198","undefined FUN_08020198()","86"
"FUN_080201f8","080201f8","undefined FUN_080201f8()","28"
"FUN_0802021c","0802021c","undefined FUN_0802021c()","34"
"FUN_08020244","08020244","undefined FUN_08020244()","238"
"FUN_08020360","08020360","undefined FUN_08020360()","8"
"FUN_0802036c","0802036c","undefined FUN_0802036c()","48"
"FUN_080203a4","080203a4","undefined FUN_080203a4(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","90"
"FUN_08020408","08020408","undefined FUN_08020408()","48"
"FUN_08020440","08020440","undefined FUN_08020440()","50"
"FUN_0802047c","0802047c","undefined FUN_0802047c()","50"
"FUN_080204b8","080204b8","undefined FUN_080204b8()","62"
"FUN_08020500","08020500","undefined FUN_08020500()","198"
"FUN_080205d0","080205d0","undefined FUN_080205d0()","146"
"FUN_0802067c","0802067c","undefined FUN_0802067c()","104"
"FUN_080206ec","080206ec","undefined FUN_080206ec()","126"
"FUN_08020774","08020774","undefined FUN_08020774()","120"
"FUN_080207ec","080207ec","undefined FUN_080207ec()","68"
"FUN_08020840","08020840","undefined FUN_08020840()","72"
"FUN_08020898","08020898","undefined FUN_08020898()","68"
"FUN_080208ec","080208ec","undefined FUN_080208ec()","72"
"FUN_08020944","08020944","undefined FUN_08020944()","38"
"FUN_08020978","08020978","undefined FUN_08020978()","322"
"FUN_08020ad0","08020ad0","undefined FUN_08020ad0()","132"
"FUN_08020b74","08020b74","undefined FUN_08020b74(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","150"
"FUN_08020c24","08020c24","undefined FUN_08020c24(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","242"
"FUN_08020e28","08020e28","undefined FUN_08020e28()","128"
"FUN_08020ecc","08020ecc","undefined FUN_08020ecc(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6)","70"
"FUN_08020f18","08020f18","undefined FUN_08020f18()","70"
"FUN_08020f64","08020f64","undefined FUN_08020f64()","14"
"FUN_08020f78","08020f78","undefined FUN_08020f78()","46"
"FUN_08020fac","08020fac","undefined FUN_08020fac()","12"
"FUN_08020fbc","08020fbc","undefined FUN_08020fbc()","68"
"FUN_08021000","08021000","undefined FUN_08021000(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","78"
"FUN_080210d8","080210d8","undefined FUN_080210d8()","24"
"FUN_0802110c","0802110c","undefined FUN_0802110c()","16"
"FUN_08021128","08021128","undefined FUN_08021128()","80"
"FUN_08021180","08021180","undefined FUN_08021180()","84"
"FUN_080211d8","080211d8","undefined FUN_080211d8()","16"
"FUN_080211f0","080211f0","undefined FUN_080211f0()","72"
"FUN_08021244","08021244","undefined FUN_08021244()","30"
"FUN_08021268","08021268","undefined FUN_08021268()","330"
"FUN_08021484","08021484","undefined FUN_08021484()","56"
"FUN_080214c0","080214c0","undefined FUN_080214c0()","66"
"FUN_08021518","08021518","undefined FUN_08021518()","18"
"FUN_08021534","08021534","undefined FUN_08021534()","40"
"FUN_08021564","08021564","undefined FUN_08021564()","28"
"FUN_0802158c","0802158c","undefined FUN_0802158c()","18"
"FUN_080215a8","080215a8","undefined FUN_080215a8()","260"
"FUN_080216e4","080216e4","undefined FUN_080216e4()","208"
"FUN_080217d0","080217d0","undefined FUN_080217d0()","156"
"FUN_0802188c","0802188c","undefined FUN_0802188c()","24"
"FUN_080218ac","080218ac","undefined FUN_080218ac()","48"
"FUN_080218dc","080218dc","undefined FUN_080218dc()","58"
"FUN_08021920","08021920","undefined FUN_08021920()","76"
"FUN_08021980","08021980","undefined FUN_08021980()","80"
"FUN_080219e4","080219e4","undefined FUN_080219e4()","40"
"FUN_08021a10","08021a10","undefined FUN_08021a10()","42"
"FUN_08021a40","08021a40","undefined FUN_08021a40()","58"
"FUN_08021a84","08021a84","undefined FUN_08021a84()","114"
"FUN_08021b0c","08021b0c","undefined FUN_08021b0c()","486"
"FUN_08021e48","08021e48","undefined FUN_08021e48()","32"
